0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
?,1,534572,38.0,48,20,3,1,3,1,4,3,1,2,1,?,3,5,43,73,2,1,?,1,3111,0,0,2
1,1,535240,38.1,40,36,1,2,2,1,2,2,?,?,?,?,?,?,?,?,?,?,3,1,3112,0,0,2
1,1,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.00,8.70,?,?,2,1,2208,0,0,2
2,1,529642,37.20,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73.00,5.50,2,4.10,2,2,4300,0,0,1
1,1,533886,?,120,70,4,?,4,2,2,4,?,?,?,?,?,5,55,65,?,?,3,2,3205,0,0,2
1,1,530693,?,?,?,3,3,3,2,5,3,3,3,2,?,4,5,46.00,5.90,?,?,2,1,3025,0,0,2
1,1,534626,37.7,80,?,3,3,6,1,5,4,1,2,3,?,3,1,50,55,3,2,1,1,4206,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3113,0,0,1
1,1,530170,38.10,88,24,3,3,4,1,5,4,3,2,1,?,3,4,41.00,4.60,?,?,2,1,2209,0,0,2
1,1,527709,38.00,108,60,2,3,4,1,4,3,3,2,?,?,3,4,?,?,3,?,1,1,2205,0,0,2
1,1,528469,38.10,52,24,1,1,5,1,4,3,1,2,3,7.00,1,?,54.00,7.50,2,2.60,2,1,2112,0,0,1
1,1,534833,38.5,120,60,4,3,6,2,?,3,?,?,?,?,?,?,54,?,?,?,1,1,5400,0,0,2
1,9,5291719,38.80,124,36,3,1,2,1,2,3,4,1,1,?,4,4,50.00,7.60,3,?,2,1,2208,0,0,1
1,1,5279822,38.00,?,24,3,3,6,2,5,?,4,1,1,?,?,?,68.00,7.80,?,?,2,1,3205,0,0,2
2,1,530319,?,84,36,?,?,3,1,?,3,1,2,1,?,3,2,44.00,8.50,?,?,1,1,3111,0,0,2
1,1,534069,?,120,?,3,4,4,1,4,4,4,1,1,?,?,5,52,67,2,2,3,1,3205,0,0,2
1,1,529428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,2124,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,534615,37.6,38,20,3,3,1,1,3,3,2,?,?,?,3,?,37,68,?,?,1,1,3205,0,0,2
1,1,533738,?,80,?,3,3,3,1,4,4,4,?,?,?,4,5,43,70,?,?,1,1,3111,0,0,2
2,1,532349,38,56,?,1,2,3,1,1,1,1,1,1,?,1,1,42,71,?,?,1,2,0,0,0,2
2,1,527702,37.20,72,24,3,2,4,2,4,3,3,3,1,?,4,4,44.00,?,3,3.30,3,1,2208,0,0,1
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1,1,1124,0,0,2
1,1,534324,38,48,?,1,1,1,1,1,2,4,2,2,?,4,5,?,?,?,?,1,1,3111,0,0,2
1,1,530366,37.60,68,32,3,?,3,1,4,2,4,2,2,6.50,1,5,47.00,7.20,1,?,1,1,3209,0,0,2
1,1,529388,?,88,40,3,3,4,2,5,4,3,3,?,?,4,5,50.00,7.70,3,1.40,2,1,4205,0,0,1
2,1,532110,39.4,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,1,2,0,0,0,2
1,1,528872,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24.00,6.70,?,?,1,1,3112,0,0,2
1,1,530254,38.40,104,40,1,1,3,1,2,4,2,2,3,6.50,?,4,55.00,8.50,?,?,1,1,2124,0,0,2
1,1,534756,37.3,40,?,?,3,1,1,2,3,2,3,1,?,3,5,36,?,3,2,1,1,3111,0,0,2
2,1,527957,38.50,60,?,2,2,1,1,1,2,2,2,1,?,1,1,44.00,7.70,?,?,1,2,0,0,0,2
1,1,528461,38.00,42,68,4,1,1,1,3,3,2,2,2,?,4,4,41.00,7.60,?,?,1,1,2205,0,0,2
1,1,534145,38.1,88,32,3,3,4,1,2,3,3,?,3,1,4,5,55,60,?,?,3,2,3205,0,0,2
1,1,534618,37.2,40,20,?,?,?,?,?,?,?,?,?,?,4,1,36,62,1,1,3,2,6112,0,0,2
1,9,534597,38.5,120,70,?,?,?,?,?,1,?,2,?,?,1,?,35,54,1,1,1,1,4205,3111,2209,2
1,1,535240,38.1,40,36,1,2,2,1,2,2,?,?,?,?,?,?,?,?,?,?,3,1,3112,0,0,2
1,1,535392,38.8,50,14,1,1,1,1,3,1,1,1,1,?,3,5,38,58,?,?,1,1,3111,0,0,2
1,9,5301219,?,128,36,3,3,4,2,4,4,3,3,?,?,4,5,53.00,7.80,3,4.70,2,2,1400,0,0,1
1,1,530360,38.20,64,24,1,1,3,1,4,4,3,2,1,?,4,4,45.00,7.50,1,2.00,2,1,3205,0,0,1
2,1,535314,38.7,48,24,?,?,?,?,1,1,?,1,1,?,1,?,34,63,?,?,1,2,0,0,0,2
1,1,534069,?,120,?,3,4,4,1,4,4,4,1,1,?,?,5,52,67,2,2,3,1,3205,0,0,2
1,1,535338,37.8,88,80,3,3,5,2,?,3,3,2,3,?,4,5,64,89,?,?,3,1,3205,0,0,2
1,1,534073,37.5,48,40,?,?,?,?,?,?,?,1,1,?,?,5,41,55,3,2,3,1,2208,0,0,2
2,1,528904,?,96,?,3,3,3,2,5,4,4,1,2,?,4,5,60.00,?,?,?,2,1,4205,0,0,2
1,1,528638,37.70,120,28,3,3,3,1,5,3,3,1,1,?,?,?,65.00,7.00,3,?,2,1,4205,0,0,1
1,1,529424,37.80,48,28,1,1,1,2,1,2,1,2,?,?,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
2,1,528248,38.00,42,40,3,1,1,1,3,3,1,?,?,?,?,?,?,?,?,?,1,2,3111,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,533886,?,120,70,4,?,4,2,2,4,?,?,?,?,?,5,55,65,?,?,3,2,3205,0,0,2
1,1,534183,38.1,70,22,?,1,?,1,5,3,?,?,?,?,?,5,36,65,?,?,3,1,3205,0,0,2
1,1,529272,38.30,132,?,?,3,6,2,2,4,2,2,3,6.20,4,4,57.00,8.00,?,5.20,1,1,2112,0,0,1
1,1,527365,38.40,80,30,4,3,1,1,3,3,3,3,3,?,4,5,32.00,6.10,3,4.30,1,1,7209,0,0,1
1,1,523190,?,68,14,?,?,4,1,4,?,?,?,1,4.30,?,?,?,?,2,2.80,2,1,4205,0,0,1
1,1,535043,39.3,100,51,4,4,6,1,2,4,1,1,3,2,?,4,66,13,3,2,3,1,2113,0,0,2
1,9,5294539,38.80,184,84,1,?,1,1,4,1,3,?,?,?,2,?,33.00,3.30,?,?,2,1,7111,0,0,2
1,1,528653,37.80,48,12,3,1,1,1,?,3,2,1,1,?,1,3,37.00,5.50,2,1.30,1,2,4122,0,0,1
2,1,530101,38.50,66,28,3,3,?,2,5,4,4,?,?,?,3,5,45.00,8.40,?,?,2,2,11300,0,0,2
1,1,528630,37.80,88,22,2,1,2,1,3,?,?,2,?,?,4,?,64.00,8.00,1,6.00,2,1,3205,0,0,1
2,1,528904,?,96,?,3,3,3,2,5,4,4,?,1,?,4,5,60.00,?,?,?,2,1,41110,0,0,2
2,1,530251,38.80,50,20,3,1,1,1,1,1,1,2,1,?,3,1,42.00,6.20,?,?,1,2,0,0,0,2
1,1,530034,37.00,66,20,1,3,2,1,4,3,3,1,?,?,1,5,35.00,6.90,2,?,2,1,31110,0,0,2
2,1,534293,38.2,130,16,4,3,4,2,2,4,4,1,1,?,?,?,65,82,2,2,3,2,2209,1400,0,2
1,9,534092,39.7,100,?,3,3,5,2,2,3,?,?,?,?,?,?,48,57,2,2,3,1,1400,0,0,2
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,2112,0,0,2
2,1,529766,38.60,46,?,1,1,2,1,1,3,2,1,1,?,?,2,49.00,9.10,1,1.60,1,2,3111,0,0,1
1,1,528641,38.50,86,?,1,1,3,1,4,4,3,2,1,?,3,5,45.00,7.40,1,3.40,2,1,3209,0,0,1
1,9,5287179,38.10,136,48,3,3,3,1,5,1,3,2,2,4.40,2,?,33.00,4.90,2,2.90,2,1,2205,0,0,1
2,1,528169,38.20,48,?,2,?,1,2,3,3,1,2,1,?,?,2,34.00,6.60,?,?,1,2,3111,0,0,2
1,1,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.00,8.70,?,?,2,1,2208,0,0,2
1,1,529736,?,52,28,3,3,4,1,3,4,3,2,1,?,4,4,37.00,8.10,?,?,1,1,2111,0,0,2
2,1,528702,36.10,88,?,3,3,3,1,3,3,2,2,3,?,?,4,45.00,7.00,3,4.80,3,1,2209,0,0,1
1,1,535392,38.8,50,14,1,1,1,1,3,1,1,1,1,?,3,5,38,58,?,?,1,1,3111,0,0,2
2,1,529642,37.20,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73.00,5.50,2,4.10,2,2,4300,0,0,1
2,1,527702,37.20,72,24,3,2,4,2,4,3,3,3,1,?,4,4,44.00,?,3,3.30,3,1,2208,0,0,1
1,1,529888,37.90,60,15,3,?,4,2,5,4,4,2,2,?,4,5,65.00,7.50,?,?,1,1,2305,0,0,1
1,1,530693,?,?,?,3,3,3,3,5,3,3,3,2,?,4,5,46.00,5.90,?,?,2,1,3025,0,0,2
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,2112,0,0,2
1,1,535158,37.3,48,20,?,1,2,1,3,3,3,2,1,?,3,5,41,69,?,?,1,1,3205,0,0,2
1,1,529428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,2124,0,0,2
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1,1,2124,0,0,2
1,1,528298,?,?,20,4,3,3,?,5,4,3,2,?,?,4,4,53.00,5.90,3,?,2,1,3205,0,0,1
2,1,529340,38.40,48,16,1,?,1,1,1,3,1,2,3,5.50,4,3,49.00,6.80,?,?,1,2,0,0,0,2
2,1,528729,37.50,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48.00,8.60,?,?,1,2,400,0,0,2
2,9,5287279,?,100,44,2,1,1,1,4,1,1,?,?,?,1,?,37.00,4.70,?,?,1,2,7111,0,0,2
1,1,529893,38.00,86,24,4,3,4,1,2,4,4,1,1,?,4,5,45.00,5.50,1,10.10,2,1,3111,0,0,1
1,1,527706,37.40,84,36,1,?,3,2,3,3,2,?,?,?,4,5,?,?,3,?,2,1,7209,0,0,1
1,1,534145,38.1,88,32,3,3,4,1,2,3,3,?,3,1,4,5,55,60,?,?,3,2,3205,0,0,2
2,1,530051,?,80,36,3,4,3,1,4,4,4,2,1,?,3,5,38.00,6.20,?,?,3,1,3205,0,0,2
2,1,529764,37.30,50,32,1,1,3,1,1,3,2,?,?,?,1,?,44.00,7.00,?,?,1,2,0,0,0,2
1,1,529388,?,88,40,3,3,4,2,5,4,3,3,?,?,4,5,50.00,7.70,3,1.40,2,1,4205,0,0,1
2,1,529703,39.00,64,40,1,1,5,1,3,3,2,2,1,?,3,3,42.00,7.50,2,2.30,1,2,5000,0,0,1
2,1,534491,38,60,32,1,1,?,1,3,3,?,1,1,?,?,?,50,7.0,1,1,1,2,0,0,0,2
1,1,529812,38.70,96,28,3,3,4,1,?,4,?,?,3,7.50,?,?,64.00,9.00,?,?,2,1,2205,0,0,1
2,1,521399,38.50,96,36,3,3,?,2,2,4,2,1,2,?,4,5,70.00,8.50,?,?,2,1,1400,0,0,1
2,1,534293,38.2,130,16,4,3,4,2,2,4,4,1,1,?,?,?,65,82,2,2,3,2,2209,1400,0,2
1,9,5287179,38.10,136,48,3,3,3,1,5,1,3,2,2,4.40,2,?,33.00,4.90,2,2.90,2,1,2205,0,0,1
1,1,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.00,8.70,?,?,2,1,2208,0,0,2
2,1,534579,38.7,40,28,2,1,1,1,3,1,1,?,?,?,1,?,39,62,1,1,1,2,0,0,0,2
2,1,535246,?,80,32,3,3,2,1,2,3,3,2,1,?,3,?,50,80,?,?,1,1,0,0,0,2
2,1,535054,38.6,45,16,2,1,2,1,1,1,?,?,?,?,1,1,43,58,?,?,1,2,0,0,0,2
1,1,530612,36.50,100,24,3,3,3,1,3,3,3,3,1,?,4,4,50.00,6.00,3,3.40,1,1,2208,0,0,1
1,1,528890,38.90,80,44,3,3,3,2,2,3,3,2,2,7.00,3,1,54.00,6.50,3,?,2,1,7111,0,0,2
2,1,529493,38.30,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
1,1,521681,38.60,42,34,2,1,4,?,2,3,1,?,?,?,1,?,48.00,7.20,?,?,1,1,3111,0,0,2
2,1,532110,39.4,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,1,2,0,0,0,2
1,1,535158,37.3,48,20,?,1,2,1,3,3,3,2,1,?,3,5,41,69,?,?,1,1,3205,0,0,2
2,1,529827,?,120,?,4,3,4,2,5,4,4,1,1,?,4,5,60.00,6.50,3,?,2,1,3205,0,0,2
1,1,534004,?,78,24,3,3,3,1,?,3,?,2,1,?,?,4,43,62,?,2,3,2,2209,0,0,2
2,9,5299629,38.30,90,?,1,?,1,1,5,3,1,2,1,?,3,?,40.00,6.20,1,2.20,1,2,0,0,0,1
2,1,535314,38.7,48,24,?,?,?,?,1,1,?,1,1,?,1,?,34,63,?,?,1,2,0,0,0,2
1,1,530354,?,36,32,1,1,4,1,5,3,3,2,3,4.00,?,4,41.00,5.90,?,?,2,1,2205,0,0,2
2,1,529493,38.30,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
2,1,527702,37.20,72,24,3,2,4,2,4,3,3,3,1,?,4,4,44.00,?,3,3.30,3,1,2208,0,0,1
2,1,532110,39.4,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,1,2,0,0,0,2
2,1,534053,38.2,68,32,2,2,2,1,1,1,1,3,1,?,1,1,43,65,?,?,1,2,0,0,0,2
1,1,535137,38.5,96,30,2,3,4,2,4,4,3,2,1,?,3,5,50,65,?,?,1,1,6111,3112,0,2
2,1,529642,37.20,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73.00,5.50,2,4.10,2,2,4300,0,0,1
1,1,527706,37.40,84,36,1,?,3,2,3,3,2,?,?,?,4,5,?,?,3,?,2,1,7209,0,0,1
2,1,533723,?,?,40,3,1,1,1,3,3,2,?,?,?,?,?,45,70,?,?,1,2,0,0,0,2
2,1,533697,38.0,44,12,3,1,1,?,?,1,2,?,?,?,1,?,42,64,?,?,1,2,0,0,0,2
1,1,527463,37.50,96,18,1,3,6,2,3,4,2,2,3,5.00,?,4,69.00,8.90,3,?,1,1,2208,0,0,1
2,1,528019,37.80,40,16,1,1,1,1,1,1,1,?,?,?,1,1,37.00,6.80,?,?,1,2,0,0,0,2
2,1,529296,38.40,48,16,2,1,1,1,1,?,2,2,1,?,?,2,39.00,6.50,?,?,1,2,3111,0,0,1
2,1,530294,37.90,40,24,1,1,1,1,2,3,1,?,?,?,?,3,40.00,5.70,?,?,1,1,400,0,0,2
1,1,530401,37.90,68,20,?,1,2,1,2,4,2,?,?,?,1,5,45.00,4.00,3,2.80,2,1,5400,0,0,1
1,1,529960,38.10,44,9,3,1,1,1,2,2,1,1,1,?,4,5,31.00,7.30,?,?,1,2,5124,0,0,2
1,1,535029,39.2,88,58,4,4,?,2,5,4,?,?,?,?,?,?,?,?,2,2,3,2,3205,0,0,2
1,1,527933,36.80,60,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.00,2,1,3205,0,0,1
1,1,535407,35.4,140,24,3,3,4,2,4,4,?,2,1,?,?,5,57,69,3,2,3,1,3205,0,0,2
2,1,528355,?,?,?,2,1,3,1,2,3,2,2,1,?,3,3,?,?,?,?,1,2,0,0,0,2
2,1,521399,38.50,96,36,3,3,?,2,2,4,2,1,2,?,4,5,70.00,8.50,?,?,2,1,1400,0,0,1
1,1,534899,?,60,20,4,3,4,2,5,4,?,?,1,?,4,5,?,?,?,?,3,1,3205,0,0,2
2,1,528804,38.60,48,20,3,1,1,1,1,3,2,2,1,?,3,2,50.00,7.30,1,?,1,2,3111,0,0,1
1,1,528461,38.00,42,68,4,1,1,1,3,3,2,2,2,?,4,4,41.00,7.60,?,?,1,1,2205,0,0,2
2,1,529493,38.30,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
1,1,529424,37.80,48,28,1,1,1,2,1,2,1,2,?,?,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
1,1,528183,37.60,45,12,3,1,3,1,?,2,2,2,1,?,1,4,39.00,7.00,2,1.50,1,1,2112,0,0,1
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
2,1,528019,37.80,40,16,1,1,1,1,1,1,1,?,?,?,1,1,37.00,6.80,?,?,1,2,0,0,0,2
2,1,530310,?,?,?,3,3,1,1,5,3,3,1,1,?,4,5,38.00,6.50,?,?,2,1,3205,0,0,2
1,1,528570,37.50,60,50,3,3,1,1,3,3,2,2,2,3.50,3,4,35.00,6.50,?,?,2,1,2209,0,0,2
1,1,529667,39.00,64,36,3,1,4,2,3,3,2,1,2,7.00,4,5,44.00,7.50,3,5.00,1,1,2113,0,0,1
2,1,528006,?,40,16,?,?,?,1,?,?,?,?,?,?,?,?,50.00,7.00,2,3.90,3,1,2208,0,0,1
1,1,529126,38.00,50,36,?,1,1,1,3,2,2,?,?,?,3,?,39.00,6.60,1,5.30,1,1,8400,0,0,1
1,1,529424,37.80,48,28,1,1,1,1,1,2,1,2,?,?,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
2,1,530319,?,84,36,?,?,3,1,?,3,1,2,1,?,3,2,44.00,8.50,?,?,1,1,3111,0,0,2
1,9,5290759,38.10,100,80,3,1,2,1,3,4,1,?,?,?,1,?,36.00,5.70,?,?,1,1,3111,0,0,2
1,1,527463,37.50,96,18,1,3,6,2,3,4,2,2,3,5.00,?,4,69.00,8.90,3,?,1,1,2208,0,0,1
1,1,535338,37.8,88,80,3,3,5,2,?,3,3,2,3,?,4,5,64,89,?,?,3,1,3205,0,0,2
2,9,5305629,38.60,88,28,?,?,?,?,?,?,?,?,?,?,?,?,35.00,5.90,?,?,1,2,0,0,0,2
2,1,530561,?,112,24,3,3,4,2,5,4,2,?,?,?,4,?,40.00,5.30,3,2.60,1,2,400,0,0,1
1,1,534833,38.5,120,60,4,3,6,2,?,3,?,?,?,?,?,?,54,?,?,?,1,1,5400,0,0,2
1,1,529045,38.20,52,16,1,1,2,1,1,2,1,1,1,?,1,?,43.00,8.10,?,?,1,2,0,0,0,1
1,1,530381,?,70,36,1,?,3,2,2,3,2,2,?,?,4,5,36.00,7.30,?,?,1,1,31110,0,0,2
1,1,528523,38.70,76,?,1,1,5,2,3,3,2,2,2,?,4,4,50.00,8.00,?,?,1,1,2208,0,0,1
